date,cl1,cl2,roll coef,day of month,roll last month,is end of month,date,month close,roll coef,perf month init,perf month corr,long only reinvested,long only not reinvested,pos strat 7,perf strat7,strat 7 reinvested,strat 7 not reinvested,pos strat 9,perf strat9,strat 9 reinvested,strat 9 not reinvested,unnamed: 22,unnamed: 23,trading cost,unnamed: 25,pos aver7 aver9,perf aver7 aver9,aver7 aver9 reinvested,aver7 aver9 not reinvested,0,0.1,trading cost .1,0.2
1/2/1985,25.92,25.81,-0.00424382716,1,0.0,0,1/31/2000,27.64,-0.03639514731,0.037831403263999995,0.07534070200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/3/1985,25.84,25.79,-0.00193498452,2,0.0,0,2/29/2000,30.43,-0.03272727273,0.1009406657,0.137335813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/4/1985,25.18,25.19,0.0003971405878,3,0.0,0,3/31/2000,26.9,-0.06216472073,-0.1160039435,-0.08327667075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/7/1985,25.56,25.6,0.001564945227,4,0.0,0,4/28/2000,25.74,-0.04849432929,-0.04312267658,0.01904204415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/8/1985,25.48,25.51,0.001177394035,5,0.0,0,5/31/2000,29.01,-0.007765023633,0.127039627,0.1755339563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/9/1985,25.43,25.43,0.0,6,0.0,0,6/30/2000,32.5,-0.05114155251,0.1203033437,0.1280683673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/10/1985,25.76,25.8,0.001552795031,7,0.0,0,7/31/2000,27.43,-0.04070131497,-0.156,-0.1048584475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/11/1985,25.77,25.8,0.001164144354,8,0.0,0,8/31/2000,33.12,-0.02692548528,0.2074371127,0.2481384276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/14/1985,26.12,26.34,0.008422664625,9,0.0,0,9/29/2000,30.84,-0.03340757238,-0.06884057971,-0.04191509443,1.0,1.0,-0.6,-0.018461795333199995,1.0,1.0,-0.6,-0.018461795333199995,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1/15/1985,25.91,25.89,-0.0007719027403,10,-0.0007719027403,0,10/31/2000,32.7,-0.02457845099,0.06031128405,0.09371885643,1.093718856,1.093718856,1.0,0.09371885643,1.093718856,1.093718856,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
